symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2015-12-07 00:00:00+00:00,105.61,106.83,104.66,106.48,15474890,105.61,0.0,106.83,104.66,106.48,1.0,15474890
FB,2015-12-08 00:00:00+00:00,106.49,106.91,103.95,104.0,20401791,106.49,0.0,106.91,103.95,104.0,1.0,20401791
FB,2015-12-09 00:00:00+00:00,104.6,106.44,103.55,106.18,23517268,104.6,0.0,106.44,103.55,106.18,1.0,23517268
FB,2015-12-10 00:00:00+00:00,105.42,106.4,104.41,105.05,17454312,105.42,0.0,106.4,104.41,105.05,1.0,17454312
FB,2015-12-11 00:00:00+00:00,102.12,104.34,101.91,104.15,26427727,102.12,0.0,104.34,101.91,104.15,1.0,26427727
FB,2015-12-14 00:00:00+00:00,104.66,104.74,101.46,102.285,24813496,104.66,0.0,104.74,101.46,102.285,1.0,24813496
FB,2015-12-15 00:00:00+00:00,104.55,105.8,104.28,105.3,21764331,104.55,0.0,105.8,104.28,105.3,1.0,21764331
FB,2015-12-16 00:00:00+00:00,106.79,107.09,104.19,105.37,22680547,106.79,0.0,107.09,104.19,105.37,1.0,22680547
FB,2015-12-17 00:00:00+00:00,106.22,107.75,106.13,107.49,21675686,106.22,0.0,107.75,106.13,107.49,1.0,21675686
FB,2015-12-18 00:00:00+00:00,104.04,106.59,103.97,106.08,35994199,104.04,0.0,106.59,103.97,106.08,1.0,35994199
FB,2015-12-21 00:00:00+00:00,104.77,105.15,103.6,104.91,16138786,104.77,0.0,105.15,103.6,104.91,1.0,16138786
FB,2015-12-22 00:00:00+00:00,105.51,105.6601,104.81,105.22,14597122,105.51,0.0,105.6601,104.81,105.22,1.0,14597122
FB,2015-12-23 00:00:00+00:00,104.63,106.11,103.86,105.89,19599673,104.63,0.0,106.11,103.86,105.89,1.0,19599673
FB,2015-12-24 00:00:00+00:00,105.02,105.32,104.5,104.74,6512134,105.02,0.0,105.32,104.5,104.74,1.0,6512134
FB,2015-12-28 00:00:00+00:00,105.93,105.98,104.53,105.02,13069733,105.93,0.0,105.98,104.53,105.02,1.0,13069733
FB,2015-12-29 00:00:00+00:00,107.26,107.74,106.25,106.42,17179901,107.26,0.0,107.74,106.25,106.42,1.0,17179901
FB,2015-12-30 00:00:00+00:00,106.22,107.25,106.06,107.0,13115007,106.22,0.0,107.25,106.06,107.0,1.0,13115007
FB,2015-12-31 00:00:00+00:00,104.66,106.17,104.62,106.0,18391064,104.66,0.0,106.17,104.62,106.0,1.0,18391064
FB,2016-01-04 00:00:00+00:00,102.22,102.24,99.75,101.95,37912403,102.22,0.0,102.24,99.75,101.95,1.0,37912403
FB,2016-01-05 00:00:00+00:00,102.73,103.7099,101.665,102.89,23258238,102.73,0.0,103.7099,101.665,102.89,1.0,23258238
FB,2016-01-06 00:00:00+00:00,102.97,103.77,100.9,101.13,25096183,102.97,0.0,103.77,100.9,101.13,1.0,25096183
FB,2016-01-07 00:00:00+00:00,97.92,101.43,97.3,100.5,45172906,97.92,0.0,101.43,97.3,100.5,1.0,45172906
FB,2016-01-08 00:00:00+00:00,97.33,100.5,97.0311,99.88,35402298,97.33,0.0,100.5,97.0311,99.88,1.0,35402298
FB,2016-01-11 00:00:00+00:00,97.51,98.6,95.39,97.91,29932385,97.51,0.0,98.6,95.39,97.91,1.0,29932385
FB,2016-01-12 00:00:00+00:00,99.37,99.96,97.55,99.0,28395390,99.37,0.0,99.96,97.55,99.0,1.0,28395390
FB,2016-01-13 00:00:00+00:00,95.44,100.58,95.21,100.58,33410553,95.44,0.0,100.58,95.21,100.58,1.0,33410553
FB,2016-01-14 00:00:00+00:00,98.37,98.87,92.45,95.85,48658623,98.37,0.0,98.87,92.45,95.85,1.0,48658623
FB,2016-01-15 00:00:00+00:00,94.97,96.38,93.54,93.98,46132781,94.97,0.0,96.38,93.54,93.98,1.0,46132781
FB,2016-01-19 00:00:00+00:00,95.26,97.42,93.92,96.53,30998256,95.26,0.0,97.42,93.92,96.53,1.0,30998256
FB,2016-01-20 00:00:00+00:00,94.35,95.0,89.37,92.83,59051429,94.35,0.0,95.0,89.37,92.83,1.0,59051429
FB,2016-01-21 00:00:00+00:00,94.16,95.99,92.62,94.91,30518939,94.16,0.0,95.99,92.62,94.91,1.0,30518939
FB,2016-01-22 00:00:00+00:00,97.94,98.07,95.49,96.41,30495387,97.94,0.0,98.07,95.49,96.41,1.0,30495387
FB,2016-01-25 00:00:00+00:00,97.01,99.48,96.93,98.72,32482015,97.01,0.0,99.48,96.93,98.72,1.0,32482015
FB,2016-01-26 00:00:00+00:00,97.34,97.88,95.66,97.76,26877080,97.34,0.0,97.88,95.66,97.76,1.0,26877080
FB,2016-01-27 00:00:00+00:00,94.45,97.85,94.23,97.79,58699359,94.45,0.0,97.85,94.23,97.79,1.0,58699359
FB,2016-01-28 00:00:00+00:00,109.11,110.34,104.81,107.2,107475327,109.11,0.0,110.34,104.81,107.2,1.0,107475327
FB,2016-01-29 00:00:00+00:00,112.21,112.84,108.84,108.99,62739548,112.21,0.0,112.84,108.84,108.99,1.0,62739548
FB,2016-02-01 00:00:00+00:00,115.09,115.72,112.01,112.27,46132726,115.09,0.0,115.72,112.01,112.27,1.0,46132726
FB,2016-02-02 00:00:00+00:00,114.61,117.59,113.2,114.8,59778571,114.61,0.0,117.59,113.2,114.8,1.0,59778571
FB,2016-02-03 00:00:00+00:00,112.69,115.3407,109.75,115.27,56919324,112.69,0.0,115.3407,109.75,115.27,1.0,56919324
FB,2016-02-04 00:00:00+00:00,110.49,111.94,109.25,111.8,38890199,110.49,0.0,111.94,109.25,111.8,1.0,38890199
FB,2016-02-05 00:00:00+00:00,104.07,109.58,103.18,109.51,76894741,104.07,0.0,109.58,103.18,109.51,1.0,76894741
FB,2016-02-08 00:00:00+00:00,99.75,102.68,97.46,100.41,71229746,99.75,0.0,102.68,97.46,100.41,1.0,71229746
FB,2016-02-09 00:00:00+00:00,99.54,102.4,96.82,97.14,62709018,99.54,0.0,102.4,96.82,97.14,1.0,62709018
FB,2016-02-10 00:00:00+00:00,101.0,103.25,100.24,101.55,45179370,101.0,0.0,103.25,100.24,101.55,1.0,45179370
FB,2016-02-11 00:00:00+00:00,101.91,105.11,98.88,99.6,43670634,101.91,0.0,105.11,98.88,99.6,1.0,43670634
FB,2016-02-12 00:00:00+00:00,102.01,104.24,101.09,103.74,36176760,102.01,0.0,104.24,101.09,103.74,1.0,36176760
FB,2016-02-16 00:00:00+00:00,101.61,103.93,100.24,103.8,45687224,101.61,0.0,103.93,100.24,103.8,1.0,45687224
